County,guns sold,Median income (dollars)
Allegany County,870,41559
Anne Arundel County,5835,91918
Baltimore City,2283,44262
Baltimore County,5832,68989
Calvert County,281,96808
Caroline County,349,50830
Carroll County,2267,87060
Cecil County,1338,67938
Charles County,3133,91373
Dorchester County,148,47907
Frederick County,2264,85715
Garrett County,222,46277
Harford County,2599,81052
Howard County,2630,113800
Kent County,318,55028
Montgomery County,5267,100352
Prince George's County,2212,75925
Queen Anne's County,250,85891
Somerset County,158,35886
St. Mary's County,1960,86810
Talbot County,343,61395
Washington County,2547,56316
Wicomico County,834,53508
Worcester County,762,57227
