Dealer Name,County,Mailing & Business Address,City,count
United Gun Shop,Montgomery,5465 Randolph Rd,Rockville,2212
"Atlantic Guns, Inc.",Montgomery,944 Bonifant St,Silver Spring,1803
"Worth A Shot, Inc.",Anne Arundel,1223 Daves Rd,Edgewater,1552
Schicksales,Charles,10595 Middleport Lane,White Plains,1456
Free State Gun Range,Baltimore County,11500 Crossroads Cir,Middle River,1367
Bass Pro Shops Outdoors,Anne Arundel,7000 Arundel Mills Circle,Hanover,1333
Fred's Outdoors,Charles,2895 Crain Highway,Waldorf,1283
"2 A Sales & Supplies, LLC",Howard,8610 Washington Blvd. #209,Jessup,1189
Army Air Force Exchange Service,Anne Arundel,2799 Rose Street,Ft. Meade,1045
Maryland Small Arms Range,Prince George's,9801 Fallard Ct,Upper Marlboro,1022
"Fox's Firearms, LLC",Howard,9190 Red Branch Rd Suite F,Columbia,1016
The Cop Shop,Baltimore City,803 E. Baltimore Street,Baltimore,994
Continental Arms,Baltimore County,9603 Deereco Road,Timonium,963
The Gun Shop,Baltimore County,1614 Eastern Blvd,Baltimore,903
Tyler Firearms/Arimus Tactical,Baltimore,"4367 Hollins Ferry Rd, suite 2C",Halethorpe,771
Engage Armament LLC,Montgomery,701 E. Gude Dr Suite 101,Rockville,760
Baltimore's Best Pawn,Carroll,2977 Baltimore Boulevard,Finksburg,736
"Gun Connection, LLC",Baltimore County,"11433 Pulaski Hwy., Unit 3",White Marsh,726
"Hafers Gunsmithing, Inc.",Washington,15411 National Pike,Hagerstown,709
Job Smart Inc. DBA Gym Ratz Nutrition,St. Mary's,28943 Three Notch Rd Ste 3,Mechanicsville,662
The Machine Gun Nest,Frederick,7910 Reich's Ford Road,Frederick,638
Rick's Guns and Pawn,Cecil,536 Rowlandsville Road,Conowingo,627
"Duffy's, Inc.",Baltimore County,15433 Falls Road,Sparks,603
Heritage Training and Shooting Center,Frederick,4537 Metropolitan Ct,Frederick,590
Three Guys Guns and Outdoors,Allegany,16901 Cherry Branch Place,Oldtown,589
Top Gun Firearms,Harford,2800 Belair Rd.,Fallston,564
