Model,Make,count
AM-15,Anderson Manufacturing ,1048
ST15,Spikes Tactical,408
X15,Aero Precision,338
PA-15,Palmetto State Armory,137
AR-556,Ruger,125
Stag-15,Stag Arms,55
PA-15,Palmetto,50
A-15,DPMS,41
X15,Aero,33
ST15,Spikes,29
The Jack,Spikes Tactical,23
17,Glock,22
19,Glock,21
HA-15,Hanover Armory LLC,20
PA-15,Palmetto Armory,17
PA-10,Palmetto State Armory,16
PA-15,PSA,16
X15,Aero Precision LLC,16
AR-15,Anderson,15
P15,Aero Precision,15
PA-15,Palmetto State,15
Stag-15,Stag,14
AR-556,Sturm Ruger,13
BCA15,Bear Creek,11
M4 Carbine,Colt,11
A-15,Aero Precision,10
BCA15,Bear Creek Arsenal,10
KE-15,KE ARMS,10
LF-15,Live Free Armory,10
Stag 15,Stag Arms,10
Glock Large Frame,Glock,9
AR 556,Ruger,8
AR-15,Alex Pro Firearms,8
EDC-15,EDC Tactical,8
LAR-15,Rock River Arms,8
m16a4,Aero Precision,8
SR-15,KNIGHTS ARMAMENT,8
X15,Aeroprecision,8
AR-1 Extreme,FMK,7
AR-556,Sturm Ruger & Co Inc,7
Crusader,Spikes Tactical,7
17/22,Glock,6
AR-15,FMK,6
AR15A3,Anderson MFG,6
DTI-15,Del-Ton,6
MK1,PWS,6
A-15,DPMS Panther Arms,5
AA-15,Adams Arms,5
AR1,FMK,5
AR15A3,Anderson Manufacturing,5
Honey Badger,Spikes Tactical,5
sqs15,bci,5
sqs15,BCI Defense,5
SR-15,Knights Armament Company,5
Stag 15,Stag,5
Timberwolf (Frame),Lone Wolf,5
1911 FRAME (**FRAME ONLY),Combat Precision,4
2011 Frame,"Atlas Gunworks, Inc.",4
AM-15,anderson man.,4
AR-15,Aero Precision,4
AR-15,AR-57,4
AR-15,Colt,4
AR-556-RO,Ruger,4
DTI-15,Delton Inc,4
Frame,Caspian Arms Ltd.,4
Glock Small Frame,Glock,4
LR15,Legion Rifles,4
LW-15,new frontier,4
M1911 Style,Caspian Arms Ltd.,4
